id,employee_id,department,objective,key_result,progress,performance_score,start_date,end_date,status,priority,effort_hours,actual_hours,quality_score,team_size,budget,actual_spent
1,EMP_052,Finance,Boost sales performance,Reduce costs by 15%,0.51,1.0,2024-08-02,2024-12-31,Active,Low,127,63,0.808781151952785,3,6685,15712
2,EMP_030,Operations,Improve product quality,Complete 90% of sprint goals,0.718,0.714,2024-01-22,2024-12-31,Active,High,128,96,0.9316445080951328,2,23431,13923
3,EMP_092,HR,Expand market reach,Enter 3 new markets,0.624,0.89,2024-02-24,2024-12-31,Active,High,170,108,0.9332461857121156,1,19502,8589
4,EMP_090,Finance,Improve product quality,Complete 90% of sprint goals,0.974,0.917,2024-09-20,2024-12-31,Completed,Low,74,133,0.8270549546168043,4,24457,31163
5,EMP_006,Operations,Improve product quality,Complete 90% of sprint goals,0.794,0.932,2024-10-30,2024-12-31,Active,Low,79,136,0.9159190598428985,7,14268,26115
6,EMP_060,HR,Reduce operational costs,Achieve 95% customer satisfaction score,0.767,0.673,2024-12-10,2024-12-31,Active,Low,48,112,0.7823077999694041,7,10258,26073
7,EMP_081,Marketing,Boost sales performance,Achieve 95% customer satisfaction score,0.89,0.826,2024-02-10,2024-12-31,Active,Low,111,124,0.8388012179493058,7,40222,32751
8,EMP_044,Operations,Boost sales performance,Increase revenue by 25%,0.997,0.644,2024-05-10,2024-12-31,Completed,High,44,157,0.9995434252883474,7,5206,31591
9,EMP_015,Sales,Improve product quality,Complete 90% of sprint goals,0.466,0.956,2024-04-05,2024-12-31,Active,Medium,190,92,1.0787225982957291,5,38827,14666
10,EMP_086,HR,Improve product quality,Reduce bug reports by 30%,0.872,0.875,2024-05-13,2024-12-31,Active,Medium,114,162,0.7725957069253496,1,49262,24349
11,EMP_062,Engineering,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.48,0.647,2024-07-16,2024-12-31,Active,Low,176,115,0.834666354248386,2,5663,13597
12,EMP_096,Engineering,Enhance team productivity,Achieve 95% customer satisfaction score,0.831,0.798,2024-09-24,2024-12-31,Active,Medium,78,132,0.6581228784700959,1,32728,24791
13,EMP_059,Engineering,Improve product quality,Reduce bug reports by 30%,0.662,0.787,2024-08-11,2024-12-31,Active,High,168,94,0.8078501779660117,4,43559,30643
14,EMP_055,Marketing,Boost sales performance,Achieve 95% customer satisfaction score,0.996,0.68,2024-04-07,2024-12-31,Completed,Medium,178,187,0.9012423732371603,1,47107,32608
15,EMP_059,Operations,Reduce operational costs,Increase revenue by 25%,1.0,0.931,2024-12-11,2024-12-31,Completed,Low,186,145,0.8230066230924309,1,24360,32140
16,EMP_001,Marketing,Enhance team productivity,Achieve 95% customer satisfaction score,0.256,0.746,2024-09-08,2024-12-31,Active,Medium,151,52,0.9863886524417105,2,36616,20377
17,EMP_048,Operations,Enhance team productivity,Reduce costs by 15%,0.802,0.917,2024-01-09,2024-12-31,Active,High,138,144,0.8971707291526978,4,11295,28662
18,EMP_075,Engineering,Enhance team productivity,Enter 3 new markets,0.705,0.928,2024-04-21,2024-12-31,Active,Medium,138,148,0.8357009065292473,3,33643,11466
19,EMP_033,HR,Increase customer satisfaction,Enter 3 new markets,0.982,0.677,2024-05-14,2024-12-31,Completed,Low,184,165,0.6613471954214362,3,45818,22858
20,EMP_030,Operations,Expand market reach,Reduce costs by 15%,0.894,0.937,2024-01-27,2024-12-31,Active,Medium,60,142,1.123442215906174,1,34124,27291
21,EMP_061,Marketing,Enhance team productivity,Increase revenue by 25%,0.748,0.829,2024-02-15,2024-12-31,Active,High,45,117,0.9240340817947739,5,5699,20168
22,EMP_085,Engineering,Boost sales performance,Reduce bug reports by 30%,0.905,0.907,2024-02-27,2024-12-31,Completed,Low,143,146,0.7352280027175,7,21538,34110
23,EMP_002,Sales,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.834,0.691,2024-02-08,2024-12-31,Active,High,65,139,0.8757207490980107,5,28355,27587
24,EMP_045,HR,Increase customer satisfaction,Enter 3 new markets,1.0,0.835,2024-05-22,2024-12-31,Completed,Medium,105,163,1.0389547656126583,3,33312,26620
25,EMP_058,Operations,Reduce operational costs,Enter 3 new markets,0.667,0.812,2024-06-28,2024-12-31,Active,Medium,109,113,0.6619687411547444,5,19599,16436
26,EMP_005,HR,Expand market reach,Reduce costs by 15%,0.886,0.744,2024-12-20,2024-12-31,Active,Low,91,115,0.7192085700330625,2,30945,16624
